iter	Passed	Remaining
859	2287	372
860	2288	369
861	2290	366
862	2292	363
863	2293	361
864	2298	358
865	2300	355
866	2301	353
867	2303	350
868	2305	347
869	2307	344
870	2310	342
871	2312	339
872	2313	336
873	2315	333
874	2317	331
875	2319	328
876	2321	325
877	2326	323
878	2328	320
879	2330	317
880	2332	315
881	2334	312
882	2336	309
883	2337	306
884	2342	304
885	2344	301
886	2346	298
887	2348	296
888	2349	293
889	2351	290
890	2353	287
891	2357	285
892	2359	282
893	2361	279
894	2362	277
895	2364	274
896	2366	271
897	2367	268
898	2372	266
899	2373	263
900	2375	261
901	2377	258
902	2379	255
903	2380	252
904	2382	250
905	2385	247
906	2388	244
907	2389	242
908	2391	239
909	2393	236
910	2394	233
911	2396	231
912	2397	228
913	2401	225
914	2403	223
915	2405	220
916	2406	217
917	2408	215
918	2409	212
919	2411	209
920	2413	206
921	2417	204
922	2418	201
923	2420	199
924	2421	196
925	2423	193
926	2425	190
927	2426	188
928	2428	185
929	2432	183
930	2434	180
931	2436	177
932	2438	175
933	2440	172
934	2442	169
935	2446	167
936	2448	164
937	2450	161
938	2451	159
939	2453	156
940	2455	153
941	2457	151
942	2461	148
943	2464	146
944	2465	143
945	2467	140
946	2468	138
947	2470	135
948	2471	132
949	2473	130
950	2477	127
951	2479	125
952	2480	122
953	2482	119
954	2484	117
955	2486	114
956	2487	111
957	2491	109
958	2493	106
959	2494	103
960	2496	101
961	2498	98
962	2499	96
963	2501	93
964	2502	90
965	2506	88
966	2508	85
967	2509	82
968	2511	80
969	2513	77
970	2514	75
971	2516	72
972	2518	69
973	2521	67
974	2523	64
975	2525	62
976	2527	59
977	2528	56
978	2530	54
979	2532	51
980	2536	49
981	2538	46
982	2540	43
983	2541	41
984	2543	38
985	2545	36
986	2547	33
987	2548	30
988	2551	28
989	2553	25
990	2554	23
991	2556	20
992	2558	18
993	2564	15
994	2566	12
995	2568	10
996	2569	7
997	2571	5
998	2573	2
999	2574	0
